39,7,77516,12,13,4,1,1,4,1,2174,0,40,39,0
50,6,83311,12,13,2,4,0,4,1,0,0,13,39,0
38,4,215646,9,9,0,6,1,4,1,0,0,40,39,0
53,4,234721,7,7,2,6,0,2,1,0,0,40,39,0
28,4,338409,12,13,2,10,5,2,0,0,0,40,5,0
37,4,284582,13,14,2,4,5,4,0,0,0,40,39,0
49,4,160187,5,5,3,8,1,2,0,0,0,16,23,0
52,6,209642,9,9,2,4,0,4,1,0,0,45,39,1
31,4,45781,13,14,4,10,1,4,0,14084,0,50,39,1
42,4,159449,12,13,2,4,0,4,1,5178,0,40,39,1
37,4,280464,10,10,2,4,0,2,1,0,0,80,39,1
30,7,141297,12,13,2,10,0,1,1,0,0,40,19,1
23,4,122272,12,13,4,1,3,4,0,0,0,30,39,0
32,4,205019,16,12,4,12,1,2,1,0,0,50,39,0
40,4,121772,15,11,2,3,0,1,1,0,0,40,0,1
34,4,245487,4,4,2,14,0,0,1,0,0,45,26,0
25,6,176756,9,9,4,5,3,4,1,0,0,35,39,0
32,4,186824,9,9,4,7,4,4,1,0,0,40,39,0
38,4,28887,7,7,2,12,0,4,1,0,0,50,39,0
43,6,292175,13,14,0,4,4,4,0,0,0,45,39,1
40,4,193524,14,16,2,10,0,4,1,0,0,60,39,1
54,4,302146,9,9,5,8,4,2,0,0,0,20,39,0
35,1,76845,5,5,2,5,0,2,1,0,0,40,39,0
43,4,117037,7,7,2,14,0,4,1,0,2042,40,39,0
59,4,109015,9,9,0,13,4,4,0,0,0,40,39,0
56,2,216851,12,13,2,13,0,4,1,0,0,40,39,1
19,4,168294,9,9,4,3,3,4,1,0,0,40,39,0
54,0,180211,10,10,2,0,0,1,1,0,0,60,35,1
39,4,367260,9,9,0,4,1,4,1,0,0,80,39,0
49,4,193366,9,9,2,3,0,4,1,0,0,40,39,0
23,2,190709,16,12,4,11,1,4,1,0,0,52,39,0
20,4,266015,10,10,4,12,3,2,1,0,0,44,39,0
